Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 20:18:16 	kea-dhcp4 	20406 	INFO [kea-dhcp4.lease-cmds-hooks.0x1ba3d0c12000] LEASE_CMDS_DEINIT_OK unloading Lease Commands hooks library successful
Apr 22 20:18:16 	kea-dhcp4 	20406 	INFO [kea-dhcp4.hooks.0x1ba3d0c12000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 20:18:16 	kea-dhcp6 	20611 	INFO [kea-dhcp6.dhcp6.0x17bb68612000] DHCP6_SHUTDOWN server shutdown
Apr 22 20:18:16 	kea-dhcp6 	20611 	INFO [kea-dhcp6.lease-cmds-hooks.0x17bb68612000] LEASE_CMDS_DEINIT_OK unloading Lease Commands hooks library successful
Apr 22 20:18:16 	kea-dhcp6 	20611 	INFO [kea-dhcp6.hooks.0x17bb68612000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.hosts.0x2785b6a12000] HOSTS_BACKENDS_REGISTERED the following host backend types are available:
Apr 22 20:18:16 	kea-dhcp4 	90122 	WARN [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_MT_DISABLED_QUEUE_CONTROL disabling dhcp queue control when multi-threading is enabled.
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.hosts.0x2d36c2a12000] HOSTS_BACKENDS_REGISTERED the following host backend types are available:
Apr 22 20:18:16 	kea-dhcp4 	90122 	WARN [kea-dhcp4.dhcp4.0x2785b6a12000] DHCP4_RESERVATIONS_LOOKUP_FIRST_ENABLED Multi-threading is enabled and host reservations lookup is always performed first.
Apr 22 20:18:16 	kea-dhcp6 	90553 	WARN [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_MT_DISABLED_QUEUE_CONTROL disabling dhcp queue control when multi-threading is enabled.
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1
Apr 22 20:18:16 	kea-dhcp6 	90553 	WARN [kea-dhcp6.dhcp6.0x2d36c2a12000] DHCP6_RESERVATIONS_LOOKUP_FIRST_ENABLED Multi-threading is enabled and host reservations lookup is always performed first.
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.20
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.hooks.0x2d36c2a12000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.10
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcpsrv.0x2d36c2a12000] DHCPSRV_CFGMGR_SOCKET_TYPE_SELECT using socket type raw
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.40
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.commands.0x2d36c2a12000] COMMAND_ACCEPTOR_START Starting to accept connections via unix domain socket bound to /tmp/kea6-ctrl-socket
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_ADD_IFACE listening on interface em1.30
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_SOCKET_TYPE_DEFAULT "dhcp-socket-type" not specified , using default socket type raw
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.hooks.0x2785b6a12000] HOOKS_LIBRARY_CLOSED hooks library /usr/local/lib/kea/hooks/libdhcp_lease_cmds.so successfully closed
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_NEW_SUBNET4 a new subnet has been added to configuration: 10.10.10.0/24 with params: valid-lifetime=7200
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_NEW_SUBNET4 a new subnet has been added to configuration: 10.10.20.0/24 with params: valid-lifetime=7200
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_NEW_SUBNET4 a new subnet has been added to configuration: 10.10.11.0/24 with params: valid-lifetime=7200
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_NEW_SUBNET4 a new subnet has been added to configuration: 10.10.40.0/24 with params: valid-lifetime=7200
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_NEW_SUBNET4 a new subnet has been added to configuration: 10.10.30.0/24 with params: valid-lifetime=7200
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcpsrv.0x2785b6a12000] DHCPSRV_CFGMGR_SOCKET_TYPE_SELECT using socket type raw
